,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
3324,it engineer,Indra,no especificado,jornada completa,,temporal,False,,,,,,España,sistemas
3325,beca ingenieria para sistemas radar,Indra,no especificado,media jornada,0.0,practicas,False,,,,,,España,otros
3326,junior android,Indra,no especificado,jornada completa,1.0,practicas,False,,,,,,España,otros
3327,fp automatizacion y robotica industrial,Indra,no especificado,jornada completa,,temporal,False,,,,,,España,otros
3328,fp superior elecctronica- java,Indra,no especificado,jornada completa,,temporal,False,,,,,,España,otros
3329,cybersecurity,grupo sia,no especificado,jornada completa,,practicas,False,,,,,,España,ciberseguridad
3330,desarrollo de  software,Indra,no especificado,jornada completa,,temporal,False,,,,,,España,otros
3331,fullstack,Adecco,no especificado,jornada completa,3.0,indefinido,False,,,Reus,Tarragona,Cataluña,España,programador
3332,analyst,Adecco,no especificado,jornada completa,3.0,indefinido,False,,,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,España,data driven
3333,arquitecto java,Indra,no especificado,jornada completa,5.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,otros
3334,it engineer,Adecco,no especificado,jornada completa,1.0,indefinido,False,,,,,,España,sistemas
3335,systems technician,apolo it group,no especificado,jornada completa,2.0,temporal,False,,,,,,España,sistemas
3336,it technician,apolo it group,no especificado,jornada completa,2.0,indefinido,False,30000.0,36000.0,,,,España,sistemas
3337,analyst,Adecco,no especificado,jornada completa,2.0,temporal,False,27000.0,27000.0,Granollers,Barcelona,Cataluña,España,data driven
3338,devops,Adecco,no especificado,jornada completa,3.0,indefinido,True,30000.0,42000.0,Barcelona,Barcelona,Cataluña,España,data driven
3339,systems technician,Adecco,no especificado,jornada completa,1.0,indefinido,True,,,Soria,Soria,Castilla y León,España,sistemas
3340,database administrator,Adecco,no especificado,jornada completa,2.0,indefinido,True,,,Madrid,Madrid,Comunidad de Madrid,España,data driven
3341,admin de sistemas senior con ingles,Adecco,no especificado,jornada completa,5.0,indefinido,True,,,Madrid,Madrid,Comunidad de Madrid,España,otros
3342,analyst,Adecco,no especificado,jornada completa,1.0,indefinido,True,21000.0,21000.0,Madrid,Madrid,Comunidad de Madrid,España,data driven
3343,programmer,Adecco,no especificado,jornada completa,3.0,temporal,False,,,,,,España,programador
3344,programmer,Adecco,no especificado,jornada completa,2.0,indefinido,False,,,,,,España,programador
3345,fp superior informatica - ai,Indra,no especificado,jornada completa,,temporal,False,,,,,,España,otros
3346,developer,grupo cmc,no especificado,jornada completa,3.0,indefinido,True,27000.0,33000.0,Madrid,Madrid,Comunidad de Madrid,España,programador
3347,operador de red 24x7 presencial,grupo cmc,remoto,jornada completa,1.0,indefinido,False,18000.0,24000.0,,,,España,otros
3348,administrador middleware - jboss/tomcat,Capgemini,no especificado,jornada completa,3.0,indefinido,True,,,,,,España,otros
3349,cloud engineering,alcorce telecomunicaciones,remoto,jornada completa,2.0,indefinido,False,,,,,,España,sistemas
3350,developer,alcorce telecomunicaciones,remoto,jornada completa,2.0,indefinido,False,,,,,,España,programador
3351,developer,Page Personnel,no especificado,jornada completa,3.0,indefinido,True,39000.0,54000.0,,,,España,programador
3352,embedded sw engineer criptografia,Page Personnel,no especificado,jornada completa,1.0,indefinido,False,42000.0,42000.0,,,,España,otros
3353,project manager,Page Personnel,no especificado,jornada completa,3.0,indefinido,False,45000.0,45000.0,Barcelona,Barcelona,Cataluña,España,administracion
3354,sr sw engineer python/c,Page Personnel,no especificado,jornada completa,5.0,indefinido,False,54000.0,60000.0,,,,España,otros
3355,ayudante instalador de seguridad,ab seguridad,no especificado,jornada completa,,indefinido,False,,,Molins de Rei,Barcelona,Cataluña,España,otros
3356,project manager,Page Personnel,no especificado,jornada completa,10.0,indefinido,False,39000.0,45000.0,Barcelona,Barcelona,Cataluña,España,administracion
3357,systems administrator,panel sistemas informaticos,remoto,jornada completa,3.0,indefinido,False,,,,,,España,sistemas
3358,developer,cib labs,remoto,jornada completa,3.0,indefinido,False,,,Valencia,Valencia,Comunidad Valenciana,España,programador
3359,practicas sap isu/sd/pp/pm,Capgemini,no especificado,media jornada,0.0,practicas,True,,,,,,España,otros
3360,developer,panel sistemas informaticos,remoto,jornada completa,3.0,indefinido,False,,,,,,España,programador
3361,data scientist,atraeclick,no especificado,jornada completa,1.0,indefinido,False,24000.0,33000.0,,,,España,data driven
3362,developer,talent search people,hibrido,jornada completa,1.0,indefinido,False,24000.0,27000.0,,,,España,programador
3363,administrador/a de seguridad perimetral,grupo sia,remoto,jornada completa,2.0,indefinido,True,,,,,,España,otros
